mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
2	2	0	0	2/4	2	1		ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
3	3	0	0	2/4	2	1		V65(2)				V65(2)	V		65	2					Mm7	5, 2, -1, -4		1	5
3	3	1/4	1/4	2/4	2	1		V(9)				V(9)	V			9					M	1, 5, 2	-4	1	1
3	3	3/8	3/8	2/4	2	1		V				V	V								M	1, 5, 2		1	1
4	4	0	0	2/4	2	1		I				I	I								M	0, 4, 1		0	0
5	5	0	0	2/4	2	1		ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
5	5	1/4	1/4	2/4	2	1		V6(9)				V6(9)	V		6	9					M	5, 2, 1	-4	1	5
5	5	3/8	3/8	2/4	2	1		V6				V6	V		6						M	5, 2, 1		1	5
6	6	0	0	2/4	2	1		I}				I	I							}	M	0, 4, 1		0	0
7	7	0	0	2/4	2	1		I6{				I6	I		6					{	M	4, 1, 0		0	4
7	7	1/4	1/4	2/4	2	1		I				I	I								M	0, 4, 1		0	0
8	8	0	0	2/4	2	1		V43				V43	V		43						Mm7	2, -1, 1, 5		1	2
8	8	1/4	1/4	2/4	2	1		V6				V6	V		6						M	5, 2, 1		1	5
9	9	0	0	2/4	2	1		I				I	I								M	0, 4, 1		0	0
9	9	1/4	1/4	2/4	2	1		vii%7/V				vii%7/V	vii	%	7		V				%7	6, 3, 0, 4		6	6
10	10	0	0	2/4	2	1		V(64)				V(64)	V			64					M	1, 0, -3		1	1
10	10	1/8	1/8	2/4	2	1		V}				V	V							}	M	1, 5, 2		1	1
10	10	1/4	1/4	2/4	2	1		I6				I6	I		6						M	4, 1, 0		0	4
11	11	0	0	2/4	2	1		IV{				IV	IV							{	M	-1, 3, 0		-1	-1
11	11	1/4	1/4	2/4	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
12	12	0	0	2/4	2	1		I6				I6	I		6						M	4, 1, 0		0	4
12	12	1/4	1/4	2/4	2	1		I				I	I								M	0, 4, 1		0	0
13	13	0	0	2/4	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1
13	13	1/4	1/4	2/4	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
14	14	0	0	2/4	2	1		I6				I6	I		6						M	4, 1, 0		0	4
14	14	1/4	1/4	2/4	2	1		I				I	I								M	0, 4, 1		0	0
15	15	0	0	2/4	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
15	15	1/4	1/4	2/4	2	1		ii2				ii2	ii		2						mm7	0, 2, -1, 3		2	0
16	16	0	0	2/4	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2
16	16	1/4	1/4	2/4	2	1		ii64				ii64	ii		64						m	3, 2, -1		2	3
17	17	0	0	2/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
17	17	1/4	1/4	2/4	2	1		V65				V65	V		65						Mm7	5, 2, -1, 1		1	5
18	18	0	0	2/4	2	1		I(4)				I(4)	I			4					M	0, -1, 1		0	0
18	18	1/8	1/8	2/4	2	1		I				I	I								M	0, 4, 1		0	0
18	18	1/4	1/4	2/4	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
19	19	0	0	2/4	2	1		V(64)				V(64)	V			64					M	1, 0, -3		1	1
19	19	1/4	1/4	2/4	2	1		V7				V7	V		7						Mm7	1, 5, 2, -1		1	1
20	20	0	0	2/4	2	1		I}{				I	I							}{	M	0, 4, 1		0	0
20	20	1/4	1/4	2/4	2	1		I6				I6	I		6						M	4, 1, 0		0	4
21	21	0	0	2/4	2	1		ii65				ii65	ii		65						mm7	-1, 3, 0, 2		2	-1
21	21	1/4	1/4	2/4	2	1		V(64)				V(64)	V			64					M	1, 0, -3		1	1
